1:2350000:2725000	1:2762500:3656250
1:2762500:3656250	1:3830000:4378750
1:3830000:4378750	1:4682500:5320000
1:4682500:5320000	1:5345000:6012500
1:5345000:6012500	1:8026250:8412500
1:8026250:8412500	1:8417500:8597500
1:8417500:8597500	1:9170000:9553750
1:9170000:9553750	1:9561250:9652500
1:9561250:9652500	1:9788750:9922500
1:9788750:9922500	1:10240000:10537500
1:10240000:10537500	1:10542500:11054375
1:10542500:11054375	1:11066875:11790000
1:11066875:11790000	1:12080000:12287500
1:12080000:12287500	1:12305000:13339375
1:12305000:13339375	1:13628125:14152500
1:13628125:14152500	1:14292500:15580000
1:14292500:15580000	1:15857500:16072500
1:15857500:16072500	1:16097500:16380000
1:16097500:16380000	1:16385000:16895000
1:16385000:16895000	1:17797500:18783125
1:17797500:18783125	1:18897500:19197500
1:18897500:19197500	1:19202500:19388750
1:19202500:19388750	1:19396250:19585000
1:19396250:19585000	1:19590000:20062500
1:19590000:20062500	1:20207500:20532500
1:20207500:20532500	1:20537500:20830000
1:20537500:20830000	1:20982500:21526250
1:20982500:21526250	1:21545625:21760000
1:21545625:21760000	1:21925000:22318125
1:21925000:22318125	1:22336875:22457500
1:22336875:22457500	1:22467500:22881875
1:22467500:22881875	1:23862500:24077500
1:23862500:24077500	1:24087500:24287500
1:24087500:24287500	1:24375000:24695000
1:24375000:24695000	1:24712500:25012500
1:24712500:25012500	1:25165000:25563750
1:25165000:25563750	1:25581250:26147500
1:25581250:26147500	1:26152500:26367500
1:26152500:26367500	1:26500000:26807500
1:26500000:26807500	1:26812500:27260000
1:26812500:27260000	1:27311250:27617500
1:27311250:27617500	1:27720000:28130000
1:27720000:28130000	1:28135000:28562500
1:28135000:28562500	1:28567500:28840000
1:28567500:28840000	1:29197500:29567500
1:29197500:29567500	1:29572500:31147500
1:29572500:31147500	1:31152500:31586250
1:31152500:31586250	1:31613125:32035000
1:31613125:32035000	1:33142500:33358125
1:33142500:33358125	1:34010000:35230000
1:34010000:35230000	1:35777500:36025000
1:35777500:36025000	1:36042500:36330000
1:36042500:36330000	1:36550000:36781250
1:36550000:36781250	1:36947500:37895000
